province,cityname,lon,lat
辽宁省,北票,120.47,41.48
辽宁省,本溪,123.46,41.18
辽宁省,朝阳,120.27,41.34
辽宁省,大连,121.36,38.55
辽宁省,丹东,124.22,40.08
辽宁省,大石桥,122.31,40.37
辽宁省,东港,124.08,39.53
辽宁省,凤城,124.02,40.28
辽宁省,抚顺,123.54,41.51
辽宁省,阜新,121.39,42.01
辽宁省,盖州,122.21,40.24
辽宁省,海城,122.43,40.51
辽宁省,葫芦岛,120.51,40.45
辽宁省,锦州,121.09,41.07
辽宁省,开原,124.02,42.32
辽宁省,辽阳,123.12,41.16
辽宁省,凌海,121.21,41.1
辽宁省,凌源,119.22,41.14
辽宁省,盘锦,122.03,41.07
辽宁省,普兰店,121.58,39.29
辽宁省,铁法,123.32,42.28
辽宁省,铁岭,123.51,42.18
辽宁省,瓦房店,122,39.37
辽宁省,兴城,120.41,40.37
辽宁省,新民,122.49,41.59
辽宁省,营口,122.13,40.39
辽宁省,庄河,122.58,39.41
内蒙古自治区,呼和浩特,111.41,40.48
内蒙古自治区,包头,109.49,40.39
内蒙古自治区,赤峰,118.58,42.17
内蒙古自治区,东胜,109.59,39.48
内蒙古自治区,二连浩特,111.58,43.38
内蒙古自治区,额尔古纳,120.11,50.13
内蒙古自治区,丰镇,113.09,40.27
内蒙古自治区,根河,121.29,50.48
内蒙古自治区,海拉尔,119.39,49.12
内蒙古自治区,霍林郭勒,119.38,45.32
内蒙古自治区,集宁,113.06,41.02
内蒙古自治区,临河,107.22,40.46
内蒙古自治区,满洲里,117.23,49.35
内蒙古自治区,通辽,122.16,43.37
内蒙古自治区,乌兰浩特,122.03,46.03
内蒙古自治区,乌海,106.48,39.4
内蒙古自治区,锡林浩特,116.03,43.57
内蒙古自治区,牙克石,120.4,49.17
内蒙古自治区,扎兰屯,122.47,48
宁夏自治区,银川,106.16,38.27
宁夏自治区,青铜峡,105.59,37.56
宁夏自治区,石嘴山,106.22,39.02
宁夏自治区,吴忠,106.11,37.59
