countryname	lon	lat
山东文登	122.05	37.2
山东海阳	121.17	36.76
山东莱阳	120.71	36.97
山东栖霞	120.83	37.28
山东掖县	119.93	37.18
山东长岛	120.73	37.91
山东威海	122.1	37.5
山东福山	121.27	37.49
山东荣成	122.41	37.16
山东乳山	121.52	36.89
山东莱西	120.53	36.86
山东招远	120.38	37.35
山东黄县	120.51	37.64
山东蓬莱	120.75	37.8
山东临沂	118.35	35.05
山东沂水	118.64	35.78
山东日照	119.46	35.42
山东临沭	118.73	34.89
山东仓山	118.03	34.84
山东平邑	117.63	35.49
山东沂源	118.17	36.18
山东沂南	118.47	35.54
山东营县	118.83	35.57
山东莒南	118.83	35.17
山东郯城	118.35	34.61
山东费县	117.97	35.26
山东蒙阴	117.95	35.7
山东泰安	117.13	36.18
山东莱芜	117.67	36.19
山东肥城	116.76	36.24
山东平阴	116.46	36.29
山东新汶	117.67	35.86
山东新泰	117.76	35.91
山东宁阳	116.8	35.76
山东东平	116.3	35.91
山东济宁	116.59	35.38
山东兖州	116.83	35.54
山东泗水	117.27	35.65
山东鱼台	116.65	35
山东嘉祥	116.34	35.41
山东汶上	116.49	35.71
山东曲阜	116.98	35.59
山东邹县	116.97	35.39
山东微山	117.12	34.8
山东金乡	116.32	35.07
山东荷泽	115.43	35.24
山东郓城	115.94	35.59
山东巨野	116.08	35.38
山东单县	116.07	34.82
山东曹县	115.53	34.83
山东鄄城	115.5	35.57
山东梁山	116.1	35.8
山东成武	115.88	34.97
山东定陶	115.57	35.07
山东东明	115.08	35.31
山东聊城	115.97	36.45
山东高唐	116.23	36.86
山东东阿	116.23	36.32
山东莘县	115.67	36.24
山东临清	115.72	36.68
山东茌平	116.27	36.58
山东阳谷	115.78	36.11
山东冠县	115.45	35.47
山西太原	112.53	37.87
山西阳曲	112.65	38.05
山西娄烦	111.78	38.05
山西清徐	112.33	37.62
山西大同	113.3	40.12
山西阳泉	113.57	37.85
山西长治	113.08	36.18
山西天镇	114.08	40.42
山西灵丘	114.2	39.47
山西怀仁	113.1	39.82
山西山阴	112.82	39.52
山西平鲁	112.12	39.53
山西右玉	112.33	40.18
山西阳高	113.72	40.38
山西广灵	113.27	39.75
山西浑源	113.68	39.7
山西应县	113.18	39.58
山西朔县	112.42	39.32
山西左云	112.67	40.02
山西忻县	112.7	38.38
山西代县	112.97	39.07
山西五台	113.32	38.72
山西静乐	111.9	38.37
山西保德	111.09	38.01
山西河曲	111.17	39.38
山西神池	112.17	39.1
山西原平	112.7	38.73
山西繁峙	113.28	39.2
山西定襄	112.95	38.5
山西岢岚	111.58	38.7
山西五寨	111.82	38.93
山西偏关	111.47	39.45
山西宁武	112.28	39
山西榆次	112.72	37.68
山西孟县	113.37	38.01
山西昔阳	113.68	37.62
山西左权	113.35	37.07
山西太谷	112.53	37.42
山西平遥	112.18	37.2
山西灵石	111.77	36.83
山西寿阳	113.17	37.88
山西平定	113.62	37.79
山西和顺	113.55	37.33
山西榆社	112.97	37.08
山西祁县	112.33	37.36
山西介休	111.88	37.03
山西离石	111.13	37.53
山西兴县	111.22	38.47
山西方由	111.24	37.86
山西岚县	111.62	38.28
山西交城	112.14	37.55
山西文水	112.02	37.42
山西汾阳	111.75	37.27
山西孝义	111.8	37.12
山西交口	111.2	36.97
山西石楼	110.83	37
山西中阳	111.17	37.37
山西临县	110.95	37.95
山西柳林	110.85	37.45
山西襄垣	113.02	36.55
